Gamma,Coef0,Degree,Recall,Precision,F1-score
2,3,2,0.777,0.608,0.68
2,4,2,0.726,0.601,0.652
2,5,2,0.694,0.578,0.627
2,6,2,0.706,0.585,0.638
2,7,2,0.772,0.616,0.683
2,8,2,0.697,0.586,0.635
2,9,2,0.554,0.494,0.515
3,10,2,0.712,0.593,0.643
3,1,2,0.723,0.589,0.65
3,2,2,0.706,0.579,0.633
3,3,2,0.624,0.544,0.581
3,4,2,0.684,0.546,0.602
3,5,2,0.645,0.583,0.584
3,6,2,0.738,0.634,0.679
3,7,2,0.649,0.558,0.597
3,8,2,0.713,0.582,0.636
3,9,2,0.703,0.564,0.624
4,10,2,0.622,0.518,0.562
4,1,2,0.671,0.562,0.608
4,2,2,0.67,0.544,0.597
4,3,2,0.7,0.578,0.63
4,4,2,0.554,0.521,0.532
4,5,2,0.615,0.536,0.568
4,6,2,0.645,0.533,0.578
4,7,2,0.559,0.473,0.508
4,8,2,0.729,0.596,0.652
4,9,2,0.766,0.609,0.679
5,10,2,0.735,0.612,0.662
5,1,2,0.63,0.518,0.566
5,2,2,0.75,0.584,0.653
5,3,2,0.744,0.609,0.668
5,4,2,0.79,0.616,0.691
5,5,2,0.737,0.599,0.659
5,6,2,0.764,0.616,0.679
5,7,2,0.604,0.504,0.548
5,8,2,0.754,0.618,0.676
5,9,2,0.764,0.601,0.673
6,10,2,0.639,0.536,0.58
6,1,2,0.763,0.64,0.693
6,2,2,0.67,0.549,0.601
6,3,2,0.715,0.588,0.643
6,4,2,0.757,0.607,0.674
6,5,2,0.81,0.653,0.723
6,6,2,0.533,0.479,0.501
6,7,2,0.649,0.549,0.59
6,8,2,0.567,0.497,0.526
6,9,2,0.73,0.588,0.65
7,10,2,0.704,0.594,0.642
7,1,2,0.698,0.573,0.623
7,2,2,0.716,0.584,0.643
7,3,2,0.758,0.614,0.677
7,4,2,0.743,0.593,0.657
7,5,2,0.759,0.61,0.674
7,6,2,0.591,0.49,0.532
7,7,2,0.598,0.502,0.54
7,8,2,0.684,0.573,0.617
7,9,2,0.759,0.597,0.664
8,10,2,0.666,0.559,0.607
8,1,2,0.661,0.543,0.59
8,2,2,0.753,0.619,0.678
8,3,2,0.566,0.499,0.525
8,4,2,0.739,0.604,0.662
8,5,2,0.649,0.545,0.589
8,6,2,0.663,0.572,0.611
8,7,2,0.665,0.576,0.602
8,8,2,0.695,0.554,0.614
8,9,2,0.598,0.477,0.529
9,10,2,0.664,0.549,0.597
9,1,2,0.703,0.572,0.626
